tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalSpeed;tripinfo_depart;tripinfo_departDelay;tripinfo_departLane;tripinfo_departPos;tripinfo_departSpeed;tripinfo_devices;tripinfo_duration;tripinfo_id;tripinfo_rerouteNo;tripinfo_routeLength;tripinfo_speedFactor;tripinfo_stopTime;tripinfo_timeLoss;tripinfo_vType;tripinfo_vaporized;tripinfo_waitingCount;tripinfo_waitingTime;emissions_CO2_abs;emissions_CO_abs;emissions_HC_abs;emissions_NOx_abs;emissions_PMx_abs;emissions_electricity_abs;emissions_fuel_abs
11.00;48484723_1;142.71;19.67;0.00;0.00;48484828#4_1;139.74;20.23;vehroute_7.1122.0 tripinfo_7.1122.0 routing_7.1122.0 emissions_7.1122.0;11.00;7.1122.0;0;207.99;1.21;0.00;0.34;taxi;;0;0.00;18415.173369;88.558855;0.796565;6.530984;0.278945;0;7.915863
13.00;53292332#0_0;29.81;12.82;0.00;0.00;240384794_0;59.40;7.73;vehroute_0.122.0 tripinfo_0.122.0 routing_0.122.0 emissions_0.122.0;13.00;0.122.0;1;144.80;1.17;0.00;3.24;passenger;;0;0.00;71873.988138;1067.212198;6.579212;30.287748;1.414031;0;30.895303
19.00;48484723_1;142.71;18.59;0.00;0.00;48484828#4_1;0.00;19.76;vehroute_0.162.0 tripinfo_0.162.0 routing_0.162.0 emissions_0.162.0;19.00;0.162.0;0;347.73;1.19;0.00;0.61;passenger;;0;0.00;46414.392688;311.004109;2.401605;17.113463;0.755762;0;19.951442
20.00;53292332#0_0;29.81;12.07;0.00;0.00;--199263543_0;31.69;14.53;vehroute_0.82.0 tripinfo_0.82.0 routing_0.82.0 emissions_0.82.0;20.00;0.82.0;1;193.23;1.31;0.00;8.20;passenger;;0;0.00;65206.679989;1072.866208;6.439229;27.544774;1.275983;0;28.029424
25.00;53283046#0_0;165.89;16.97;0.00;0.00;192483968#1_0;0.00;17.57;vehroute_0.182.0 tripinfo_0.182.0 routing_0.182.0 emissions_0.182.0;25.00;0.182.0;0;368.27;1.05;0.00;3.99;passenger;;0;0.00;81688.210159;939.044076;6.190015;32.938850;1.492737;0;35.113994
27.00;53283046#0_0;165.89;17.40;1.00;1.00;192483968#1_0;0.00;15.58;vehroute_7.1132.0 tripinfo_7.1132.0 routing_7.1132.0 emissions_7.1132.0;26.00;7.1132.0;0;368.27;1.10;0.00;5.34;taxi;;0;0.00;93537.219264;1192.189827;7.631564;38.322275;1.768001;0;40.207325
31.00;48484723_1;142.71;19.82;3.00;3.00;48484828#4_1;12.10;0.00;vehroute_2.150.0 tripinfo_2.150.0 routing_2.150.0 emissions_2.150.0;28.00;2.150.0;0;335.63;1.20;0.00;10.51;bus;;0;0.00;689372.427716;1005.858197;192.771000;5208.272261;108.152126;0;294.012830
33.00;28639939#0_0;139.89;15.86;0.00;0.00;53281545#2_1;0.00;17.69;vehroute_0.283.0 tripinfo_0.283.0 routing_0.283.0 emissions_0.283.0;33.00;0.283.0;1;333.86;1.20;0.00;13.12;passenger;;1;1.00;124107.815717;2072.645518;12.410288;52.507214;2.487308;0;53.348346
33.00;53281543_0;136.33;11.38;0.00;0.00;408074469#0_2;0.00;18.76;vehroute_1.292.0 tripinfo_1.292.0 routing_1.292.0 emissions_1.292.0;33.00;1.292.0;1;313.79;1.13;0.00;11.32;passenger;;2;2.00;81685.918990;1503.654765;8.783337;34.140607;1.561154;0;35.113316
34.00;775830384_1;114.22;17.53;0.00;0.00;53281545#2_0;0.00;17.69;vehroute_0.281.0 tripinfo_0.281.0 routing_0.281.0 emissions_0.281.0;34.00;0.281.0;1;403.47;1.12;0.00;11.47;passenger;;1;3.00;126692.108889;1984.088801;12.082758;53.417553;2.563268;0;54.459103
35.00;53283046#0_1;165.89;19.54;6.00;6.00;192483968#1_1;12.10;0.00;vehroute_3.450.0 tripinfo_3.450.0 routing_3.450.0 emissions_3.450.0;29.00;3.450.0;0;356.19;1.20;0.00;11.11;bus;;0;0.00;702410.945213;1035.540548;202.661270;5320.419506;111.420580;0;299.575238
38.00;775830384_1;114.22;18.21;4.00;4.00;53281545#2_0;0.00;5.05;vehroute_6.1161.0 tripinfo_6.1161.0 routing_6.1161.0 emissions_6.1161.0;34.00;6.1161.0;1;398.70;1.17;0.00;12.82;taxi;;0;0.00;150134.055853;2429.270091;14.638488;62.866296;2.951030;0;64.535899
41.00;37022128_0;106.30;19.25;3.00;3.00;53281545#2_0;0.00;9.18;vehroute_0.285.0 tripinfo_0.285.0 routing_0.285.0 emissions_0.285.0;38.00;0.285.0;1;390.07;1.16;0.00;16.88;passenger;;1;5.00;176663.586051;3129.663404;18.443288;73.799652;3.494811;0;75.939983
41.00;28639939#0_0;139.89;16.32;5.00;5.00;53281545#2_0;0.00;1.49;vehroute_6.1162.0 tripinfo_6.1162.0 routing_6.1162.0 emissions_6.1162.0;36.00;6.1162.0;1;341.71;1.18;0.00;15.66;taxi;;1;2.00;149071.892763;2518.472130;15.027350;62.401508;2.918376;0;64.079429
43.00;-292382413_0;152.29;12.85;2.00;2.00;53281545#2_1;0.00;12.28;vehroute_0.284.0 tripinfo_0.284.0 routing_0.284.0 emissions_0.284.0;41.00;0.284.0;1;410.56;1.20;0.00;14.59;passenger;;0;0.00;154177.978844;2509.620339;15.092716;64.252441;2.937504;0;66.274327
