step_arrived;step_collisions;step_duration;step_ended;step_halting;step_inserted;step_loaded;step_meanSpeed;step_meanSpeedRelative;step_meanTravelTime;step_meanWaitingTime;step_running;step_teleports;step_time;step_waiting
0;0;4906042;0;1;89;245;16.02;1.12;-1.00;0.00;89;0;0.00;156
0;0;4906069;0;0;101;245;15.13;1.05;-1.00;0.12;101;0;1.00;144
0;0;4906070;0;2;123;245;14.22;0.97;-1.00;0.46;123;0;2.00;122
0;0;4906071;0;3;135;245;13.07;0.88;-1.00;0.68;135;0;3.00;110
0;0;4906072;0;4;148;245;12.20;0.82;-1.00;0.97;148;0;4.00;97
0;0;4906074;0;6;155;245;11.33;0.76;-1.00;1.15;155;0;5.00;90
0;0;4906075;0;10;166;245;10.51;0.70;-1.00;1.48;166;0;6.00;79
0;0;4906077;0;13;173;245;9.83;0.65;-1.00;1.70;173;0;7.00;72
0;0;4906078;0;21;178;246;9.43;0.62;-1.00;1.88;178;0;8.00;68
0;0;4906080;0;23;186;247;9.24;0.61;-1.00;2.18;186;0;9.00;61
0;0;4906082;0;27;193;247;9.17;0.61;-1.00;2.47;193;0;10.00;54
0;0;4906084;0;25;201;248;9.00;0.59;-1.00;2.76;201;0;11.00;47
1;0;4906087;1;30;203;248;8.83;0.58;12.00;2.85;202;0;12.00;45
2;0;4906089;2;33;208;248;8.72;0.57;12.50;3.09;206;0;13.00;40
2;0;4906091;2;37;212;248;8.78;0.57;12.50;3.30;210;0;14.00;36
2;0;4906093;2;41;220;252;8.75;0.57;12.50;3.60;218;0;15.00;32
2;0;4906096;2;47;223;252;8.68;0.56;12.50;3.76;221;0;16.00;29
2;0;4906098;2;55;228;252;8.63;0.55;12.50;4.05;226;0;17.00;24
2;0;4906102;2;53;233;255;8.54;0.54;12.50;4.32;231;0;18.00;22
3;0;4906105;3;59;235;255;8.47;0.54;14.67;4.31;232;0;19.00;20
4;0;4906108;4;62;236;255;8.35;0.53;16.00;4.38;232;0;20.00;19
5;0;4906110;5;68;242;259;8.43;0.53;17.00;4.46;237;0;21.00;17
6;0;4906113;6;76;243;260;8.40;0.53;17.67;4.44;237;0;22.00;17
6;0;4906116;6;82;246;260;8.30;0.52;17.67;4.67;240;0;23.00;14
7;0;4906120;7;85;250;264;8.18;0.51;18.57;4.69;243;0;24.00;14
7;0;4906124;7;87;251;264;8.09;0.51;18.57;4.77;244;0;25.00;13
7;0;4906127;7;89;252;264;8.11;0.51;18.57;4.76;245;0;26.00;12
7;0;4906130;7;92;253;265;8.08;0.50;18.57;4.79;246;0;27.00;12
7;0;4906133;7;97;254;265;8.08;0.50;18.57;4.89;247;0;28.00;11
7;0;4906136;7;99;259;271;8.01;0.50;18.57;4.81;252;0;29.00;12
