interval_begin;interval_end;interval_flow;interval_harmonicMeanSpeed;interval_id;interval_length;interval_nVehContrib;interval_nVehEntered;interval_occupancy;interval_speed
0.00;30.00;120.00;6.94;0;5.00;1;2;16.71;6.94
0.00;30.00;120.00;7.85;1;5.00;1;2;20.74;7.85
0.00;30.00;120.00;6.88;2;5.00;1;2;27.43;6.88
0.00;30.00;120.00;6.51;3;5.00;1;2;36.28;6.51
0.00;30.00;120.00;5.40;4;5.00;1;1;3.08;5.40
0.00;30.00;0.00;-1.00;5;-1.00;0;0;0.00;-1.00
0.00;30.00;120.00;4.73;6;5.00;1;1;3.53;4.73
0.00;30.00;0.00;-1.00;7;-1.00;0;0;0.00;-1.00
0.00;30.00;120.00;11.84;8;5.00;1;1;1.41;11.84
0.00;30.00;120.00;10.30;9;12.00;1;1;3.88;10.30
0.00;30.00;720.00;3.62;10;6.17;6;6;31.06;6.73
0.00;30.00;600.00;3.04;11;5.00;5;5;27.43;5.57
0.00;30.00;0.00;-1.00;12;-1.00;0;0;0.00;-1.00
0.00;30.00;120.00;9.27;13;5.00;1;1;1.80;9.27
0.00;30.00;0.00;-1.00;14;-1.00;0;0;0.00;-1.00
0.00;30.00;0.00;-1.00;15;-1.00;0;0;0.00;-1.00
0.00;30.00;360.00;15.59;110;5.00;3;3;3.21;15.61
0.00;30.00;0.00;-1.00;111;-1.00;0;0;0.00;-1.00
0.00;30.00;720.00;10.90;112;5.00;6;6;9.17;11.28
0.00;30.00;0.00;-1.00;113;-1.00;0;0;0.00;-1.00
0.00;30.00;0.00;-1.00;16;-1.00;0;1;1.37;-1.00
0.00;30.00;0.00;-1.00;17;-1.00;0;0;0.00;-1.00
0.00;30.00;0.00;-1.00;18;-1.00;0;0;0.00;-1.00
0.00;30.00;0.00;-1.00;19;-1.00;0;0;0.00;-1.00
0.00;30.00;0.00;-1.00;20;-1.00;0;0;0.00;-1.00
0.00;30.00;0.00;-1.00;21;-1.00;0;0;0.00;-1.00
0.00;30.00;0.00;-1.00;22;-1.00;0;0;0.00;-1.00
0.00;30.00;960.00;16.44;23;5.00;8;8;8.11;16.49
0.00;30.00;120.00;9.14;24;5.00;1;1;1.82;9.14
0.00;30.00;120.00;8.96;25;5.00;1;1;1.86;8.96
0.00;30.00;0.00;-1.00;26;-1.00;0;0;0.00;-1.00
0.00;30.00;120.00;5.68;28;5.00;1;2;15.17;5.68
0.00;30.00;120.00;4.95;29;5.00;1;1;3.37;4.95
0.00;30.00;120.00;5.64;30;5.00;1;2;37.60;5.64
0.00;30.00;120.00;5.41;31;5.00;1;1;3.08;5.41
0.00;30.00;240.00;17.90;150;5.00;2;2;1.86;17.90
0.00;30.00;120.00;19.72;151;12.00;1;1;2.03;19.72
0.00;30.00;480.00;5.78;152;6.75;4;4;20.76;8.32
0.00;30.00;1080.00;15.75;153;5.78;9;9;10.96;16.01
0.00;30.00;0.00;-1.00;32;-1.00;0;0;0.00;-1.00
0.00;30.00;120.00;21.45;33;5.00;1;1;0.78;21.45
0.00;30.00;0.00;-1.00;34;-1.00;0;0;0.00;-1.00
0.00;30.00;360.00;13.90;36;5.00;3;3;3.60;13.98
0.00;30.00;960.00;14.84;37;5.00;8;8;8.98;15.57
0.00;30.00;0.00;-1.00;38;-1.00;0;0;0.00;-1.00
0.00;30.00;0.00;-1.00;40;-1.00;0;0;0.00;-1.00
0.00;30.00;0.00;-1.00;41;-1.00;0;0;0.00;-1.00
0.00;30.00;120.00;21.60;42;5.00;1;1;0.77;21.60
0.00;30.00;0.00;-1.00;43;-1.00;0;0;0.00;-1.00
0.00;30.00;240.00;6.75;44;5.00;2;2;4.94;7.34
0.00;30.00;960.00;10.27;45;5.00;8;9;13.99;10.37
0.00;30.00;120.00;20.90;46;5.00;1;1;0.80;20.90
0.00;30.00;240.00;7.51;47;5.00;2;3;75.78;7.93
0.00;30.00;120.00;6.34;48;5.00;1;2;83.18;6.34
0.00;30.00;120.00;5.73;49;5.00;1;2;83.08;5.73
0.00;30.00;0.00;-1.00;50;-1.00;0;0;0.00;-1.00
0.00;30.00;0.00;-1.00;51;-1.00;0;0;0.00;-1.00
0.00;30.00;0.00;-1.00;52;-1.00;0;0;0.00;-1.00
0.00;30.00;0.00;-1.00;54;-1.00;0;0;0.00;-1.00
0.00;30.00;0.00;-1.00;55;-1.00;0;0;0.00;-1.00
0.00;30.00;120.00;20.80;56;5.00;1;2;1.38;20.80
0.00;30.00;0.00;-1.00;57;-1.00;0;0;0.00;-1.00
0.00;30.00;0.00;-1.00;58;-1.00;0;0;0.00;-1.00
0.00;30.00;0.00;-1.00;59;-1.00;0;0;0.00;-1.00
0.00;30.00;0.00;-1.00;60;-1.00;0;0;0.00;-1.00
0.00;30.00;0.00;-1.00;61;-1.00;0;0;0.00;-1.00
0.00;30.00;0.00;-1.00;62;-1.00;0;0;0.00;-1.00
0.00;30.00;0.00;-1.00;63;-1.00;0;0;0.00;-1.00
0.00;30.00;120.00;20.59;64;5.00;1;1;0.81;20.59
0.00;30.00;0.00;-1.00;65;-1.00;0;0;0.00;-1.00
