tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalSpeed;tripinfo_depart;tripinfo_departDelay;tripinfo_departLane;tripinfo_departPos;tripinfo_departSpeed;tripinfo_devices;tripinfo_duration;tripinfo_id;tripinfo_rerouteNo;tripinfo_routeLength;tripinfo_speedFactor;tripinfo_stopTime;tripinfo_timeLoss;tripinfo_vType;tripinfo_vaporized;tripinfo_waitingCount;tripinfo_waitingTime;emissions_CO2_abs;emissions_CO_abs;emissions_HC_abs;emissions_NOx_abs;emissions_PMx_abs;emissions_electricity_abs;emissions_fuel_abs
11.00;48484723_1;142.71;20.13;0.00;0.00;48484828#4_1;135.82;21.30;vehroute_7.1122.0 tripinfo_7.1122.0 routing_7.1122.0 emissions_7.1122.0;11.00;7.1122.0;0;211.91;1.28;0.00;0.43;taxi;;0;0.00;25204.161169;214.405479;1.588949;9.628225;0.460509;0;10.834100
14.00;53292332#0_0;29.81;11.14;0.00;0.00;240384794_0;68.67;1.70;vehroute_0.122.0 tripinfo_0.122.0 routing_0.122.0 emissions_0.122.0;14.00;0.122.0;1;135.53;1.08;0.00;4.69;passenger;;0;0.00;70789.705563;1220.568392;7.243567;30.035382;1.393609;0;30.429343
18.00;48484723_1;142.71;20.15;0.00;0.00;48484828#4_1;0.00;20.94;vehroute_0.162.0 tripinfo_0.162.0 routing_0.162.0 emissions_0.162.0;18.00;0.162.0;0;347.73;1.26;0.00;0.55;passenger;;0;0.00;47361.053544;452.818343;3.168481;18.404660;0.889989;0;20.358301
21.00;53292332#0_0;29.81;12.42;0.00;0.00;--199263543_0;32.77;12.95;vehroute_0.82.0 tripinfo_0.82.0 routing_0.82.0 emissions_0.82.0;21.00;0.82.0;1;192.15;1.17;0.00;7.42;passenger;;0;0.00;71514.694246;1235.948303;7.331803;30.372832;1.412970;0;30.740979
23.00;53283046#0_0;165.89;15.95;0.00;0.00;192483968#1_0;0.00;16.87;vehroute_0.182.0 tripinfo_0.182.0 routing_0.182.0 emissions_0.182.0;23.00;0.182.0;0;368.27;1.01;0.00;1.01;passenger;;0;0.00;56525.467506;450.247742;3.302948;21.600761;0.912608;0;24.297736
25.00;53283046#0_0;165.89;19.01;1.00;1.00;192483968#1_0;0.00;14.77;vehroute_7.1132.0 tripinfo_7.1132.0 routing_7.1132.0 emissions_7.1132.0;24.00;7.1132.0;0;368.27;1.17;0.00;4.31;taxi;;0;0.00;83646.545205;917.511749;6.172152;33.850175;1.570612;0;35.955710
26.00;53281543_0;136.33;14.06;0.00;0.00;408074469#0_2;0.00;22.86;vehroute_1.292.0 tripinfo_1.292.0 routing_1.292.0 emissions_1.292.0;26.00;1.292.0;1;313.79;1.37;0.00;8.54;passenger;;1;1.00;61740.062026;1037.078239;6.194651;25.861212;1.202414;0;26.539327
31.00;48484723_1;142.71;19.84;3.00;3.00;48484828#4_1;12.10;0.00;vehroute_2.150.0 tripinfo_2.150.0 routing_2.150.0 emissions_2.150.0;28.00;2.150.0;0;335.63;1.20;0.00;11.06;bus;;0;0.00;690731.230953;1017.049553;197.063539;5232.162946;109.326582;0;294.592136
33.00;28639939#0_0;139.89;16.52;0.00;0.00;53281545#2_1;0.00;17.69;vehroute_0.283.0 tripinfo_0.283.0 routing_0.283.0 emissions_0.283.0;33.00;0.283.0;1;333.86;1.27;0.00;14.16;passenger;;1;4.00;131415.055007;2284.564181;13.559734;56.036510;2.698539;0;56.489374
34.00;775830384_1;114.22;19.82;0.00;0.00;53281545#2_0;0.00;17.69;vehroute_0.281.0 tripinfo_0.281.0 routing_0.281.0 emissions_0.281.0;34.00;0.281.0;1;403.47;1.21;0.00;12.62;passenger;;1;6.00;130821.653384;2462.399537;14.290153;54.015536;2.602424;0;56.234703
35.00;53283046#0_1;165.89;19.99;6.00;6.00;192483968#1_1;12.10;0.00;vehroute_3.450.0 tripinfo_3.450.0 routing_3.450.0 emissions_3.450.0;29.00;3.450.0;0;356.19;1.20;0.00;10.25;bus;;0;0.00;736977.348065;1071.537262;211.166206;5554.038030;115.656128;0;314.323176
37.00;28639939#0_0;139.89;17.00;5.00;5.00;53281545#2_0;0.00;1.25;vehroute_6.1162.0 tripinfo_6.1162.0 routing_6.1162.0 emissions_6.1162.0;32.00;6.1162.0;1;341.71;1.25;0.00;13.08;taxi;;0;0.00;145680.876812;2585.050412;15.254827;61.834582;2.927540;0;62.621733
39.00;37022128_0;106.30;20.12;3.00;3.00;53281545#2_0;0.00;9.06;vehroute_0.285.0 tripinfo_0.285.0 routing_0.285.0 emissions_0.285.0;36.00;0.285.0;1;390.07;1.24;0.00;16.18;passenger;;0;0.00;180256.783451;3093.523781;18.426195;76.295425;3.700585;0;77.484244
40.00;775830384_1;114.22;21.05;4.00;4.00;53281545#2_0;0.00;4.86;vehroute_6.1161.0 tripinfo_6.1161.0 routing_6.1161.0 emissions_6.1161.0;36.00;6.1161.0;1;398.70;1.29;0.00;16.04;taxi;;1;1.00;162107.483206;2768.364749;16.507195;68.381387;3.309559;0;69.682709
44.00;-292382413_0;152.29;11.32;2.00;2.00;53281545#2_1;0.00;13.30;vehroute_0.284.0 tripinfo_0.284.0 routing_0.284.0 emissions_0.284.0;42.00;0.284.0;1;410.56;1.11;0.00;14.02;passenger;;2;3.00;131823.694781;2113.459151;12.733723;53.865430;2.371070;0;56.665409
44.00;37022128_0;106.30;19.70;9.00;9.00;53281545#2_0;0.00;1.25;vehroute_6.1164.0 tripinfo_6.1164.0 routing_6.1164.0 emissions_6.1164.0;35.00;6.1164.0;1;397.92;1.23;0.00;14.21;taxi;;0;0.00;170974.299803;2918.632872;17.397193;72.486904;3.483139;0;73.494121
46.00;53292419_0;342.11;13.34;0.00;0.00;--199263543_0;64.48;13.47;vehroute_0.83.0 tripinfo_0.83.0 routing_0.83.0 emissions_0.83.0;46.00;0.83.0;1;520.07;1.21;0.00;9.99;passenger;;0;0.00;150931.111448;2142.875697;13.309429;61.781729;2.731189;0;64.878609
48.00;-292382413_0;152.29;12.29;7.00;7.00;53281545#2_0;0.00;1.25;vehroute_6.1163.0 tripinfo_6.1163.0 routing_6.1163.0 emissions_6.1163.0;41.00;6.1163.0;1;418.41;1.15;0.00;13.47;taxi;;0;0.00;164855.299316;2803.162132;16.669771;68.455447;3.094559;0;70.864205
49.00;775830384_1;114.22;15.74;21.00;0.43;53281545#2_1;0.00;16.44;vehroute_0.281.1 tripinfo_0.281.1 routing_0.281.1 emissions_0.281.1;28.00;0.281.1;1;398.70;0.99;0.00;2.03;passenger;;0;0.00;67988.044326;613.332818;4.384690;26.437025;1.121251;0;29.224989
51.00;53292418_0;332.16;13.16;1.00;1.00;--199263543_0;0.00;10.59;vehroute_0.84.0 tripinfo_0.84.0 routing_0.84.0 emissions_0.84.0;50.00;0.84.0;1;624.08;1.27;0.00;8.91;passenger;;0;0.00;156962.536033;2015.827756;12.894688;63.622422;2.793852;0;67.471179
52.00;-53292327_0;316.56;15.24;2.00;2.00;--199263543_0;0.00;7.46;vehroute_0.85.0 tripinfo_0.85.0 routing_0.85.0 emissions_0.85.0;50.00;0.85.0;1;679.97;1.41;0.00;11.45;passenger;;0;0.00;212007.159469;2841.492588;17.990066;87.737632;4.105541;0;91.132026
